id,sid,tid,tid_end,entity_type,entity,text
1,1,2,2,NORP,Islamic,"My Islamic studies professor at 17 read every book available in English on the topic, then got a doctorate in classical Arabic just so she could learn more. She became a respected authority in the early stages of the development of Islamic studies by accident."
1,1,6,6,CARDINAL,17,"My Islamic studies professor at 17 read every book available in English on the topic, then got a doctorate in classical Arabic just so she could learn more. She became a respected authority in the early stages of the development of Islamic studies by accident."
1,1,12,12,LANGUAGE,English,"My Islamic studies professor at 17 read every book available in English on the topic, then got a doctorate in classical Arabic just so she could learn more. She became a respected authority in the early stages of the development of Islamic studies by accident."
1,1,23,23,LANGUAGE,Arabic,"My Islamic studies professor at 17 read every book available in English on the topic, then got a doctorate in classical Arabic just so she could learn more. She became a respected authority in the early stages of the development of Islamic studies by accident."
1,2,14,14,NORP,Islamic,"My Islamic studies professor at 17 read every book available in English on the topic, then got a doctorate in classical Arabic just so she could learn more. She became a respected authority in the early stages of the development of Islamic studies by accident."
1,1,8,8,GPE,Chicago,My grandma that made bathtub gin in Chicago
1,3,8,8,CARDINAL,millions,"Me. I have depression and diabetes. I go to work everyday without getting millions for it, I’m happily married, I own a house, I pay taxes, and have a small but fierce support team."
1,1,2,4,DATE,the dark years,"During the dark years in Algeria, my cousin found her flat squatted by a GIA (terrorist) member widow and her whole family. She went at the local warlord's house and told him ""give me my flat back or me and my kids will live in your own house until you kill us"". She got it back."
1,1,6,6,GPE,Algeria,"During the dark years in Algeria, my cousin found her flat squatted by a GIA (terrorist) member widow and her whole family. She went at the local warlord's house and told him ""give me my flat back or me and my kids will live in your own house until you kill us"". She got it back."
1,1,16,16,ORG,GIA,"During the dark years in Algeria, my cousin found her flat squatted by a GIA (terrorist) member widow and her whole family. She went at the local warlord's house and told him ""give me my flat back or me and my kids will live in your own house until you kill us"". She got it back."
1,1,2,3,ORG,@HilarieBurton @audreyalison,@SophiaBush @HilarieBurton @audreyalison @DanneelHarris × All the women of OTH
1,1,1,2,PERSON,Raven Branwen,Raven Branwen.
1,1,1,1,CARDINAL,One,One of my friend's ex!
1,1,1,2,PERSON,Caitlyn Jenner,Caitlyn Jenner.
1,1,1,1,GPE,Zenobia,Zenobia ruled the Palmyrene Empire in the third century AD (what is now Syria). In 270 she invaded the eastern portion of the Roman Empire and annexed Egypt. Her royal court was a centre of philosophy and art.
1,1,3,5,ORG,the Palmyrene Empire,Zenobia ruled the Palmyrene Empire in the third century AD (what is now Syria). In 270 she invaded the eastern portion of the Roman Empire and annexed Egypt. Her royal court was a centre of philosophy and art.
1,1,7,10,DATE,the third century AD,Zenobia ruled the Palmyrene Empire in the third century AD (what is now Syria). In 270 she invaded the eastern portion of the Roman Empire and annexed Egypt. Her royal court was a centre of philosophy and art.
1,1,15,15,GPE,Syria,Zenobia ruled the Palmyrene Empire in the third century AD (what is now Syria). In 270 she invaded the eastern portion of the Roman Empire and annexed Egypt. Her royal court was a centre of philosophy and art.
1,2,2,2,CARDINAL,270,Zenobia ruled the Palmyrene Empire in the third century AD (what is now Syria). In 270 she invaded the eastern portion of the Roman Empire and annexed Egypt. Her royal court was a centre of philosophy and art.
1,2,9,11,GPE,the Roman Empire,Zenobia ruled the Palmyrene Empire in the third century AD (what is now Syria). In 270 she invaded the eastern portion of the Roman Empire and annexed Egypt. Her royal court was a centre of philosophy and art.
1,2,14,14,GPE,Egypt,Zenobia ruled the Palmyrene Empire in the third century AD (what is now Syria). In 270 she invaded the eastern portion of the Roman Empire and annexed Egypt. Her royal court was a centre of philosophy and art.
1,1,6,6,GPE,RA,"Me-I have severe RA, lung cancer survivor, work two jobs, take care of my family."
1,1,13,13,CARDINAL,two,"Me-I have severe RA, lung cancer survivor, work two jobs, take care of my family."
1,1,2,3,PERSON,Taylor Swift,"Does Taylor Swift chew up furniture? My dog Pepper loves to chew up my furniture. I've gone through 3 couches in 1 year. I would say Pepper is a very bad dog. Probably the baddest of all the female dogs there are.
TLDR; Pepper's a badder bitch than Swift"
1,3,5,5,CARDINAL,3,"Does Taylor Swift chew up furniture? My dog Pepper loves to chew up my furniture. I've gone through 3 couches in 1 year. I would say Pepper is a very bad dog. Probably the baddest of all the female dogs there are.
TLDR; Pepper's a badder bitch than Swift"
1,3,8,9,DATE,1 year,"Does Taylor Swift chew up furniture? My dog Pepper loves to chew up my furniture. I've gone through 3 couches in 1 year. I would say Pepper is a very bad dog. Probably the baddest of all the female dogs there are.
TLDR; Pepper's a badder bitch than Swift"
1,4,4,4,PERSON,Pepper,"Does Taylor Swift chew up furniture? My dog Pepper loves to chew up my furniture. I've gone through 3 couches in 1 year. I would say Pepper is a very bad dog. Probably the baddest of all the female dogs there are.
TLDR; Pepper's a badder bitch than Swift"
1,6,3,4,ORG,Pepper's,"Does Taylor Swift chew up furniture? My dog Pepper loves to chew up my furniture. I've gone through 3 couches in 1 year. I would say Pepper is a very bad dog. Probably the baddest of all the female dogs there are.
TLDR; Pepper's a badder bitch than Swift"
1,1,6,6,ORG,OSS,My grandmother worked for the OSS in London during WW2 as a code breaker.
1,1,8,8,GPE,London,My grandmother worked for the OSS in London during WW2 as a code breaker.
1,1,10,10,PERSON,WW2,My grandmother worked for the OSS in London during WW2 as a code breaker.
1,1,1,2,PERSON,Minerva McGonagall,Minerva McGonagall
1,1,16,16,PERSON,Taylor,People are comparing revolutionaries to a musician obviously they’ve accomplished more significant things than Taylor has
1,1,1,1,ORG,Hamare,Hamare param mitr @James_Beyond ki mashooka Sanjukta
1,1,7,7,ORG,Sanjukta,Hamare param mitr @James_Beyond ki mashooka Sanjukta
1,1,1,2,PERSON,Sally Yates,Sally Yates
1,1,7,8,TIME,4pm,me and I got up at 4pm today and almost fainted on the toilet
1,1,9,9,DATE,today,me and I got up at 4pm today and almost fainted on the toilet
1,1,11,11,ORG,IDF,All of these women volunteering for combat roles in the IDF <f0><U+009F><U+0092><U+00AA><f0><U+009F><U+008F><U+00BB><f0><U+009F><U+0087><U+00AE><f0><U+009F><U+0087><U+00B1>
1,2,5,5,NORP,Caesarian,"My grandmother struggled through poverty her entire life, in a family prone to depression, addiction, and suicide. She had so many Caesarian sections that when she reached menopause she didn’t have a belly button anymore."
1,1,6,9,ORG,the �Baddest Bitch,I will never tire of the “Baddest Bitch” tweets that are coming from this one
1,1,12,13,DATE,6 months,My wife carried twins to full term and breast fed for 6 months. This isn’t hard.
1,2,12,12,CARDINAL,12,".@RuPaul for starters. And my great grandmother who drove a car when she was 12. My dog, too. She is definitely a bad bitch."
1,5,1,2,PERSON,Tonya Harding,"Almost any woman alive today,@xnulz 

And - Here’s another one, for sure (PLUS she’s a good mother):

Tonya Harding; @ITonyaMovie 

<U+26F8><f0><U+009F><U+00A5><U+008A><U+26F8><f0><U+009F><U+00A5><U+008A><U+2764><U+FE0F><f0><U+009F><U+00A5><U+008A><U+26F8><f0><U+009F><U+00A5><U+008A><U+26F8>"
1,1,3,3,CARDINAL,one,That robot one out of Westworld
1,1,6,6,LOC,Westworld,That robot one out of Westworld
1,1,9,9,PERSON,Taylor,Every reply to this tweet is a small Taylor drag that is part of a much larger collage of Taylor being dragged. <f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+008D><f0><U+009F><U+0098><U+008E>
1,1,20,20,PERSON,Taylor,Every reply to this tweet is a small Taylor drag that is part of a much larger collage of Taylor being dragged. <f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+008D><f0><U+009F><U+0098><U+008E>
1,1,14,14,DATE,today,The quote retweets to this sham of a tweet is giving me life today.
1,1,9,9,MONEY,AARSBL17,Any and every woman I saw at #AARSBL17 two weekends ago
1,1,10,12,DATE,two weekends ago,Any and every woman I saw at #AARSBL17 two weekends ago
1,1,2,2,CARDINAL,64,A 64 oz of mayo
1,1,1,1,PERSON,Lassie,Lassie.
1,1,1,3,WORK_OF_ART,The Night Witches,The Night Witches were an all female  group of soviet fighter pilots in WWII. Because they were women they were given the shittiest planes: loud and would break down midair. So they would glide to their target shoot them down and then climb out on the wing and restart the plane.
1,1,15,15,EVENT,WWII,The Night Witches were an all female  group of soviet fighter pilots in WWII. Because they were women they were given the shittiest planes: loud and would break down midair. So they would glide to their target shoot them down and then climb out on the wing and restart the plane.
1,1,8,8,CARDINAL,two,"My mom: recently divorced she raised two boys, went to night school, studied for the CPA exam and worked all at the same time. She carried bankers boxes of work home over the weekend to make up work time."
1,2,9,10,DATE,the weekend,"My mom: recently divorced she raised two boys, went to night school, studied for the CPA exam and worked all at the same time. She carried bankers boxes of work home over the weekend to make up work time."
1,1,8,8,ORG,Kozidrak,"Kuzwa, bylam pewna, ze to Kozidrak. #LoL"
1,2,2,2,MONEY,LoL,"Kuzwa, bylam pewna, ze to Kozidrak. #LoL"
1,1,1,1,PERSON,Jhansi,Jhansi ki Rani Laxmibai(ignore the bitch part) Fought the britishers with an infant tied to her back
1,1,3,4,PERSON,Rani Laxmibai(ignore,Jhansi ki Rani Laxmibai(ignore the bitch part) Fought the britishers with an infant tied to her back
1,1,1,1,PERSON,Bob,Bob from Bobs Burgers
1,1,3,4,PERSON,Bobs Burgers,Bob from Bobs Burgers
1,1,1,2,PERSON,Rosa Parks,Rosa Parks. Ann Richards. Barbara Jordan.
1,2,1,2,PERSON,Ann Richards,Rosa Parks. Ann Richards. Barbara Jordan.
1,3,1,2,PERSON,Barbara Jordan,Rosa Parks. Ann Richards. Barbara Jordan.
1,1,2,2,CARDINAL,three,The three dudes in the picture...?
1,1,1,2,PERSON,Bronya Armes,Bronya Armes
1,1,1,2,PERSON,Lara Croft,Lara Croft
1,1,1,2,PERSON,Lee Miller,Lee Miller. Bold as brass. Cool as fuck. War photographer and model. She blazed through the world. Read about her here.
1,1,1,1,ORG,Saucy,Saucy pow
1,1,3,3,PERSON,Temple,"In my Temple community, we had a holocaust survivor who gave up her infant daughter to be raised by Christians so that the child wouldn't be sent to a concentration camp with her. She then survived the camps."
1,1,21,21,NORP,Christians,"In my Temple community, we had a holocaust survivor who gave up her infant daughter to be raised by Christians so that the child wouldn't be sent to a concentration camp with her. She then survived the camps."
1,1,10,10,DATE,2016,Just about anyone who stated their position on the 2016 election.
1,1,1,2,PERSON,Hannah Szenesh,Hannah Szenesh. Hungarian poet and paratrooper. Dropped behind enemy lines in Yugoslavia during WW2 to help rescue Hungarian Jews bound for Auschwitz. Arrested by Nazis at Hungarian border. Brutally tortured but refused to give info. Executed.
1,2,1,1,NORP,Hungarian,Hannah Szenesh. Hungarian poet and paratrooper. Dropped behind enemy lines in Yugoslavia during WW2 to help rescue Hungarian Jews bound for Auschwitz. Arrested by Nazis at Hungarian border. Brutally tortured but refused to give info. Executed.
